2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): catalog_product_collection_apply_limitations_before
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): catalog_product_collection_apply_limitations_after
2016-05-03T15:13:08+00:00 DEBUG (7): model_save_before
2016-05-03T15:13:08+00:00 DEBUG (7): core_abstract_save_before
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): model_save_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_abstract_save_after
2016-05-03T15:13:08+00:00 DEBUG (7): model_save_commit_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_abstract_save_commit_after
2016-05-03T15:13:08+00:00 DEBUG (7): catalog_controller_product_view
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): eav_collection_abstract_load_before
2016-05-03T15:13:08+00:00 DEBUG (7): catalog_category_collection_load_before
2016-05-03T15:13:08+00:00 DEBUG (7): catalog_category_collection_load_after
2016-05-03T15:13:08+00:00 DEBUG (7): controller_action_layout_load_before
2016-05-03T15:13:08+00:00 DEBUG (7): controller_action_layout_generate_xml_before
2016-05-03T15:13:08+00:00 DEBUG (7): controller_action_layout_generate_blocks_before
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_before
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_layout_block_create_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_before
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_layout_block_create_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_before
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_layout_block_create_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_before
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_layout_block_create_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_before
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_layout_block_create_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_before
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_layout_block_create_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_before
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_layout_block_create_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_block_abstract_prepare_layout_before
